"SOPID","Title","FileName","Description","ContentPreview"
"9.4.505","9.4.505 – Conduct Safety Compliance Audits","9.4.505 – Conduct Safety Compliance Audits.docx","To conduct safety compliance audits that verify adherence to OSHA standards, contract requirements, and company policies.","SOP 9.4.505 – Conduct Safety Compliance Audits Department: Safety / Branch Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.480 – Conduct Safety Inspections; 9.41.495 – Investigate Accidents; 9.41.500 – Conduct Emergency Preparedness; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ================"
"9.4.510","9.4.510 – Provide Safety Training","9.4.510 – Provide Safety Training.docx","To provide ongoing safety training for employees and subcontractors, ensuring compliance with regulatory standards and company policies.","SOP 9.4.510 – Provide Safety Training Department: Safety / Human Resources Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.475 – Conduct Safety Orientation; 9.41.485 – Conduct Safety Meetings; 9.41.500 – Conduct Emergency Preparedness; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Safety Management  ================================================================================ DOCUMENT REFERENCES ========================="
"9.4.515","9.4.515 – Develop Quality Management Plan","9.4.515 – Develop Quality Management Plan.docx","To develop a project-specific Quality Management Plan (QMP) that defines standards, responsibilities, inspections, and acceptance criteria.","SOP 9.4.515 – Develop Quality Management Plan Department: Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.035 – Conduct Site Visit; 9.41.080 – Establish Tracking & Control Systems; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES =================================================="
"9.4.520","9.4.520 – Conduct Quality Meetings","9.4.520 – Conduct Quality Meetings.docx","To conduct regular quality meetings to review standards, discuss issues, and ensure compliance with project requirements.","SOP 9.4.520 – Conduct Quality Meetings Department: Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.175 – Conduct Quality Meetings; 9.41.515 – Develop Quality Management Plan; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES ========================================================"
"9.4.525","9.4.525 – Conduct Quality Inspections","9.4.525 – Conduct Quality Inspections.docx","To perform inspections that verify work complies with contract documents, specifications, and quality standards.","SOP 9.4.525 – Conduct Quality Inspections Department: Safety / Quality / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.240 – Manage Inspection Reports; 9.41.515 – Develop Quality Management Plan; 9.41.520 – Conduct Quality Meetings; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES ======"
"9.4.530","9.4.530 – Manage Quality Testing","9.4.530 – Manage Quality Testing.docx","To perform and document quality testing in accordance with project specifications, codes, and standards.","SOP 9.4.530 – Manage Quality Testing Department: Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.515 – Develop Quality Management Plan; 9.41.525 – Conduct Quality Inspections; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES ======================================================="
"9.4.535","9.4.535 – Manage Nonconformance Reports (NC Rs)","9.4.535 – Manage Nonconformance Reports (NC Rs).docx","To identify, document, and resolve nonconforming work in a consistent and traceable manner.","SOP 9.4.535 – Manage Nonconformance Reports (NCRs) Department: Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.525 – Conduct Quality Inspections; 9.41.530 – Manage Quality Testing; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES =================================================="
"9.4.540","9.4.540 – Manage Quality Records","9.4.540 – Manage Quality Records.docx","To establish a system for maintaining and archiving quality records that demonstrate compliance with project and contractual requirements.","SOP 9.4.540 – Manage Quality Records Department: Project Management / Quality / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.515 – Develop Quality Management Plan; 9.41.530 – Manage Quality Testing; 9.41.535 – Manage Nonconformance Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES ="
"9.4.545","9.4.545 – Manage Punch List Quality","9.4.545 – Manage Punch List Quality.docx","To ensure punch list items are documented, corrected, and verified for quality compliance prior to project closeout.","SOP 9.4.545 – Manage Punch List Quality Department: Project Management / Quality / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.245 – Manage Punch Lists; 9.41.525 – Conduct Quality Inspections; 9.41.540 – Manage Quality Records; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOCUMENT REFERENCES ==========="
"9.4.560","9.4.560 – Manage Manpower Allocation","9.4.560 – Manage Manpower Allocation.docx","To allocate manpower efficiently across projects, ensuring sufficient labor resources are available to meet schedule and productivity requirements.","SOP 9.4.560 – Manage Manpower Allocation Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.335 – Prepare Lookahead Schedules; 9.41.340 – Manage Resource-Loaded Schedules; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ================================================================================ DOCUMENT REFERENCES ========================================"
"9.4.565","9.4.565 – Manage Equipment Allocation","9.4.565 – Manage Equipment Allocation.docx","To allocate, track, and maintain equipment resources across projects to ensure availability and cost efficiency.","SOP 9.4.565 – Manage Equipment Allocation Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.335 – Prepare Lookahead Schedules; 9.41.340 – Manage Resource-Loaded Schedules; 9.41.560 – Manage Manpower Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ================================================================================ DOCUMENT REFERENCES "
"9.4.570","9.4.570 – Manage Material Allocation","9.4.570 – Manage Material Allocation.docx","To manage allocation and delivery of materials to ensure availability at the right time and location while minimizing waste and storage costs.","SOP 9.4.570 – Manage Material Allocation Department: Project Management / Procurement / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.055 – Procurement of Large Feeder Wire; 9.41.335 – Prepare Lookahead Schedules; 9.41.340 – Manage Resource-Loaded Schedules; 9.41.565 – Manage Equipment Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  =========================================="
"9.4.575","9.4.575 – Manage Subcontractor Resources","9.4.575 – Manage Subcontractor Resources.docx","To manage subcontractor manpower, equipment, and material resources to ensure their availability aligns with project requirements and schedules.","SOP 9.4.575 – Manage Subcontractor Resources Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.155 – Conduct Subcontractor Coordination Meetings; 9.41.415 – Manage Committed Costs; 9.41.560 – Manage Manpower Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ================================================================================ DOCUMENT RE"
"9.4.580","9.4.580 – Manage Vendor Resources","9.4.580 – Manage Vendor Resources.docx","To coordinate vendor-provided resources (materials, deliveries, technical support) to ensure timely project execution.","SOP 9.4.580 – Manage Vendor Resources Department: Project Management / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.055 – Procurement of Large Feeder Wire; 9.41.295 – Manage Vendor / Supplier Communications; 9.41.570 – Manage Material Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ================================================================================ DOCUMENT REFERENC"
"9.4.585","9.4.585 – Plan Prefabrication Resources","9.4.585 – Plan Prefabrication Resources.docx","To plan prefabrication resources (labor, space, tools, and materials) to optimize efficiency, reduce jobsite congestion, and improve quality.","SOP 9.4.585 – Plan Prefabrication Resources Department: Project Management / Field Operations / Prefabrication Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.008 – Identify Prefabrication Opportunities; 9.41.560 – Manage Manpower Allocation; 9.41.565 – Manage Equipment Allocation; 9.41.570 – Manage Material Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ======================================"
"9.4.590","9.4.590 – Manage Specialty Contractor Resources","9.4.590 – Manage Specialty Contractor Resources.docx","To manage specialty contractor resources (e.","SOP 9.4.590 – Manage Specialty Contractor Resources Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.155 – Conduct Subcontractor Coordination Meetings; 9.41.575 – Manage Subcontractor Resources; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  ================================================================================ DOCUMENT REFERENCES ==============="
"9.4.595","9.4.595 – Prepare Resource Reports","9.4.595 – Prepare Resource Reports.docx","To prepare weekly and monthly resource reports that summarize manpower, equipment, material, and subcontractor usage across the project.","SOP 9.4.595 – Prepare Resource Reports Department: Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.560 – Manage Manpower Allocation; 9.41.565 – Manage Equipment Allocation; 9.41.570 – Manage Material Allocation; 9.41.590 – Manage Specialty Contractor Resources; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Resource Management  =============================================================="
"9.4.605","9.4.605 – Issue Purchase Orders","9.4.605 – Issue Purchase Orders.docx","To issue purchase orders (POs) for materials and equipment, ensuring accuracy, cost compliance, and delivery coordination.","SOP 9.4.605 – Issue Purchase Orders Department: Procurement / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.415 – Manage Committed Costs; 9.41.600 – Develop Procurement Plan; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ======================================================================="
"9.4.610","9.4.610 – Manage Vendor Prequalification","9.4.610 – Manage Vendor Prequalification.docx","To prequalify vendors and suppliers based on financial stability, safety record, quality performance, and capacity.","SOP 9.4.610 – Manage Vendor Prequalification Department: Procurement / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.290 – Manage Subcontractor Communications; 9.41.580 – Manage Vendor Resources; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ======================================================"
"9.4.615","9.4.615 – Manage Vendor Evaluations","9.4.615 – Manage Vendor Evaluations.docx","To evaluate vendor performance on each project, focusing on quality, timeliness, cost compliance, and communication.","SOP 9.4.615 – Manage Vendor Evaluations Department: Procurement / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.610 – Manage Vendor Prequalification; 9.41.580 – Manage Vendor Resources; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ============================================================"
"9.4.620","9.4.620 – Manage Expediting","9.4.620 – Manage Expediting.docx","To expedite vendor and supplier commitments to ensure timely delivery of critical materials and equipment.","SOP 9.4.620 – Manage Expediting Department: Procurement / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.600 – Develop Procurement Plan; 9.41.605 – Issue Purchase Orders; 9.41.625 – Manage Delivery Tracking; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ======================================="
"9.4.625","9.4.625 – Manage Delivery Tracking","9.4.625 – Manage Delivery Tracking.docx","To track vendor and supplier deliveries, ensuring that materials and equipment arrive on schedule and in good condition.","SOP 9.4.625 – Manage Delivery Tracking Department: Procurement / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.620 – Manage Expediting; 9.41.570 – Manage Material Allocation; 9.41.415 – Manage Committed Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ======================================"
"9.4.630","9.4.630 – Manage Material Receiving","9.4.630 – Manage Material Receiving.docx","To ensure materials and equipment received on-site are verified for accuracy, quality, and compliance with purchase orders.","SOP 9.4.630 – Manage Material Receiving Department: Field Operations / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.625 – Manage Delivery Tracking; 9.41.570 – Manage Material Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ================================================================="
"9.4.631","9.4.631 – Release of Large Feeder Wire","9.4.631 – Release of Large Feeder Wire.docx","Standardizes the process for verifying, releasing, and tracking large feeder wire after procurement to ensure accuracy, proper sequencing, and timely delivery.","SOP: 9.4.631 – Release of Large Feeder Wire Department: Project Management / Field Leadership / Purchasing Related SOPs: 9.2.020 – Procurement of Large Feeder Wire 9.2.080 – Prepare Material Handling Plan 9.2.100 – Prepare Layout & Sequencing Plan  Purpose Standardizes the process for verifying, releasing, and tracking large feeder wire after procurement to ensure accuracy, proper sequencing, and timely delivery.  Scope Applies to all large feeder wire (1 AWG and larger) released from vendor s"
"9.4.635","9.4.635 – Manage Material Inspection","9.4.635 – Manage Material Inspection.docx","To inspect materials and equipment for compliance with specifications, submittals, and quality requirements before installation.","SOP 9.4.635 – Manage Material Inspection Department: Field Operations / Quality / Procurement Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.530 – Manage Quality Testing; 9.41.630 – Manage Material Receiving; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ========================================================="
"9.4.640","9.4.640 – Manage Storage and Logistics","9.4.640 – Manage Storage and Logistics.docx","To manage storage and logistics of materials and equipment to ensure availability, protection, and efficient handling on-site.","SOP 9.4.640 – Manage Storage and Logistics Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.060 – Prepare Material Handling Plan; 9.41.570 – Manage Material Allocation; 9.41.630 – Manage Material Receiving; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ==========="
"9.4.645","9.4.645 – Manage Material Handling","9.4.645 – Manage Material Handling.docx","To safely and efficiently handle materials on-site, minimizing waste, damage, and productivity loss.","SOP 9.4.645 – Manage Material Handling Department: Field Operations / Logistics / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.060 – Prepare Material Handling Plan; 9.41.640 – Manage Storage and Logistics; 9.41.570 – Manage Material Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES "
"9.4.650","9.4.650 – Manage Inventory","9.4.650 – Manage Inventory.docx","To maintain accurate inventory records of materials, tools, and equipment to ensure availability and accountability.","SOP 9.4.650 – Manage Inventory Department: Field Operations / Procurement / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.645 – Manage Material Handling; 9.41.640 – Manage Storage and Logistics; 9.41.570 – Manage Material Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ============"
"9.4.655","9.4.655 – Prepare Procurement Reports","9.4.655 – Prepare Procurement Reports.docx","To prepare weekly and monthly procurement reports that summarize commitments, deliveries, and outstanding issues.","SOP 9.4.655 – Prepare Procurement Reports Department: Procurement / Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.600 – Develop Procurement Plan; 9.41.605 – Issue Purchase Orders; 9.41.625 – Manage Delivery Tracking; 9.41.650 – Manage Inventory; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOC"
"9.4.660","9.4.660 – Manage Procurement Closeout","9.4.660 – Manage Procurement Closeout.docx","To close out all procurement activities by confirming that purchase orders, deliveries, and invoices are complete and reconciled.","SOP 9.4.660 – Manage Procurement Closeout Department: Procurement / Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.465 – Manage Final Invoicing; 9.41.650 – Manage Inventory; 9.41.655 – Prepare Procurement Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES ===================="
"9.4.665","9.4.665 – Reconcile Procurement Accounts","9.4.665 – Reconcile Procurement Accounts.docx","To reconcile procurement accounts by confirming all commitments, invoices, and payments match and that no outstanding liabilities remain.","SOP 9.4.665 – Reconcile Procurement Accounts Department: Accounting / Procurement / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.395 – Develop Project Budget; 9.41.420 – Manage Actual Costs; 9.41.660 – Manage Procurement Closeout; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  ================================================================================ DOCUMENT REFERENCES =============="
"9.4.670","9.4.670 – Manage Vendor Closeout","9.4.670 – Manage Vendor Closeout.docx","To formally close out vendor accounts by verifying completion of work, receipt of materials, and settlement of all financial obligations.","SOP 9.4.670 – Manage Vendor Closeout Department: Procurement / Project Management / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.610 – Manage Vendor Prequalification; 9.41.615 – Manage Vendor Evaluations; 9.41.660 – Manage Procurement Closeout; 9.41.665 – Reconcile Procurement Accounts; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Procurement  =================================================================="
"9.4.675","9.4.675 – Conduct Daily Huddles","9.4.675 – Conduct Daily Huddles.docx","To conduct daily field huddles with crews to communicate work plans, hazards, and coordination needs.","SOP 9.4.675 – Conduct Daily Huddles Department: Field Operations / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.165 – Conduct Safety Meetings; 9.41.335 – Prepare Lookahead Schedules; 9.41.560 – Manage Manpower Allocation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ==================="
"9.4.680","9.4.680 – Conduct Weekly Foreman Meetings","9.4.680 – Conduct Weekly Foreman Meetings.docx","To conduct weekly foreman meetings to review schedule, manpower, coordination issues, and site logistics.","SOP 9.4.680 – Conduct Weekly Foreman Meetings Department: Field Operations / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.150 – Conduct Coordination Meetings; 9.41.335 – Prepare Lookahead Schedules; 9.41.675 – Conduct Daily Huddles; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ========"
"9.4.690","9.4.690 – Track Manpower Utilization","9.4.690 – Track Manpower Utilization.docx","To track manpower utilization daily to ensure labor is allocated effectively and productivity targets are met.","SOP 9.4.690 – Track Manpower Utilization Department: Field Operations / Project Management / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.560 – Manage Manpower Allocation; 9.41.685 – Manage Daily Reports; 9.41.595 – Prepare Resource Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ==="
"9.4.695","9.4.695 – Track Production Quantities","9.4.695 – Track Production Quantities.docx","To track production quantities of installed work daily to measure productivity and progress against plan.","SOP 9.4.695 – Track Production Quantities Department: Field Operations / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.690 – Track Manpower Utilization; 9.41.400 – Monitor Project Costs; 9.41.595 – Prepare Resource Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES =================="
"9.4.700","9.4.700 – Track Equipment Utilization","9.4.700 – Track Equipment Utilization.docx","To track equipment usage daily to ensure proper allocation, cost control, and productivity.","SOP 9.4.700 – Track Equipment Utilization Department: Field Operations / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.565 – Manage Equipment Allocation; 9.41.685 – Manage Daily Reports; 9.41.595 – Prepare Resource Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES =================="
"9.4.705","9.4.705 – Manage Work Packaging","9.4.705 – Manage Work Packaging.docx","To break down project scope into manageable work packages for efficient planning, assignment, and tracking.","SOP 9.4.705 – Manage Work Packaging Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.008 – Identify Prefabrication Opportunities; 9.41.335 – Prepare Lookahead Schedules; 9.41.695 – Track Production Quantities; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ===="
"9.4.710","9.4.710 – Manage Workface Planning","9.4.710 – Manage Workface Planning.docx","To implement workface planning (WFP) by providing crews with all information, materials, and tools needed before starting field tasks.","SOP 9.4.710 – Manage Workface Planning Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.705 – Manage Work Packaging; 9.41.335 – Prepare Lookahead Schedules; 9.41.675 – Conduct Daily Huddles; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ======================="
"9.4.715","9.4.715 – Manage Field Coordination","9.4.715 – Manage Field Coordination.docx","To coordinate daily field activities across crews and subcontractors, ensuring work is sequenced properly and conflicts are resolved.","SOP 9.4.715 – Manage Field Coordination Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.150 – Conduct Coordination Meetings; 9.41.680 – Conduct Weekly Foreman Meetings; 9.41.705 – Manage Work Packaging; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES =========="
"9.4.720","9.4.720 – Conduct Productivity Analysis","9.4.720 – Conduct Productivity Analysis.docx","To analyze field productivity by comparing actual labor hours and production against planned values, enabling corrective action.","SOP 9.4.720 – Conduct Productivity Analysis Department: Project Management / Field Operations / Accounting Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.690 – Track Manpower Utilization; 9.41.695 – Track Production Quantities; 9.41.400 – Monitor Project Costs; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES "
"9.4.725","9.4.725 – Resolve Field Problems","9.4.725 – Resolve Field Problems.docx","To resolve field problems promptly to avoid delays, rework, or safety risks.","SOP 9.4.725 – Resolve Field Problems Department: Field Operations / Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.205 – Manage RFIs; 9.41.715 – Manage Field Coordination; 9.41.535 – Manage Nonconformance Reports; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ==================="
"9.4.735","9.4.735 – Perform Field Quality Verifications","9.4.735 – Perform Field Quality Verifications.docx","To perform ongoing quality verifications in the field to ensure work is performed according to drawings, specifications, and approved submittals.","SOP 9.4.735 – Perform Field Quality Verifications Department: Field Operations / Quality / Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.525 – Conduct Quality Inspections; 9.41.535 – Manage Nonconformance Reports; 9.41.720 – Conduct Productivity Analysis; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUME"
"9.4.745","9.4.745 – Manage Field Rework","9.4.745 – Manage Field Rework.docx","To manage field rework systematically so deficiencies are corrected efficiently, minimizing cost and schedule impacts.","SOP 9.4.745 – Manage Field Rework Department: Field Operations / Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.535 – Manage Nonconformance Reports; 9.41.725 – Resolve Field Problems; 9.41.735 – Perform Field Quality Verifications; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT REFERENCES ="
"9.4.755","9.4.755 – Implement Field Productivity Improvements","9.4.755 – Implement Field Productivity Improvements.docx","To identify, implement, and monitor productivity improvement measures in field operations.","SOP 9.4.755 – Implement Field Productivity Improvements Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.720 – Conduct Productivity Analysis; 9.41.695 – Track Production Quantities; 9.41.585 – Plan Prefabrication Resources; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ================================================================================ DOCUMENT R"
"9.5.010","9.5.010 – Handling and or Disposing of Excess Materials","9.5.010 – Handling and or Disposing of Excess Materials.docx","============================================================To establish a standardized process for conducting commissioning meetings, ensuring proper coordination between all parties during the testing, verification, and turnover phases of the project.","SOP: 9.5.010 - Conduct Commissioning Meetings Department: Project Management / Quality Related SOPs: - 9.4.060 - Conduct Quality Meetings - 9.5.550 - Manage Commissioning Activities - 9.6.010 - Conduct Closeout Meetings ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training "
"9.5.550","9.5.550 – Manage Commissioning Activities","9.5.550 – Manage Commissioning Activities.docx","============================================================To establish a standardized process for managing all commissioning activities, ensuring systematic testing, verification, and documentation of electrical systems prior to owner turnover.","SOP: 9.5.550 - Manage Commissioning Activities Department: Project Management / Quality Related SOPs: - 9.5.010 - Conduct Commissioning Meetings - 9.4.240 - Manage Inspections - 9.6.020 - Manage Punch Lists ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Ta"
"9.6.005","9.6.005 – Prepare for Turnover (Field Perspective)","9.6.005 – Prepare for Turnover (Field Perspective).docx","To prepare field operations for turnover by ensuring punch lists, as-builts, and corrective actions are completed and verified.","SOP 9.6.005 – Prepare for Turnover (Field Perspective) Department: Field Operations / Project Management / Quality Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.545 – Manage Punch List Quality; 9.41.555 – Manage Project Turnover Documentation; 9.41.730 – Manage As-Built Documentation; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Field Execution  ============================================================================"
"9.6.010","9.6.010 – Conduct Closeout Meetings","9.6.010 – Conduct Closeout Meetings.docx","============================================================To establish a standardized process for conducting project closeout meetings, ensuring proper coordination of all closeout activities and successful project completion.","SOP: 9.6.010 - Conduct Closeout Meetings Department: Project Management Related SOPs: - 9.6.005 - Prepare for Turnover (Field Perspective) - 9.6.020 - Manage Punch Lists - 9.6.060 - Manage Closeout Documentation ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder):"
"9.6.015","9.6.015 – Manage Project Turnover Documentation","9.6.015 – Manage Project Turnover Documentation.docx","To compile, review, and submit all turnover documentation to the Owner/GC, ensuring contractual requirements are satisfied.","SOP 9.6.015 – Manage Project Turnover Documentation Department: Project Management / Quality / Administration Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.265 – Manage Closeout Documentation; 9.41.545 – Manage Punch List Quality; 9.41.550 – Manage Commissioning Activities; 9.41.190A – Document Filing Standards Reference: GSL Project Manager Procedures – Quality Management  ================================================================================ DOC"
